72.834	72.584	72.31	70.73	66.194	46.736
68.184	68.162	69.548	69.482	65.85	45.36
68.142	68.264	69.49	69.384	65.796	45.212
68.152	68.21	69.436	69.262	65.376	42.16
67.826	68.038	68.958	68.55	63.39	34.164
62.746	63.326	65.486	64.67	53.544	9.168
					
69.952	69.832	69.286	67.442	62.22	41.652
65.48	65.45	65.544	64.222	59.882	38.562
64.864	64.99	64.676	63.002	55.424	24.954
56.594	56.852	52.82	42.806	6.482	0.15
35.39	35.932	28.436	11.89	0.266	0.11
3.816	3.538	0.982	0.214	0.114	0.108
					
64.592	64.324	63.596	61.536	55.912	35.962
62.29	62.452	62.168	60.818	54.832	32.802
62.074	62.152	61.852	60.288	53.604	26.858
58.428	58.402	57.39	52.426	33.132	0.928
47.536	46.708	44.028	33.208	6.584	0.13
16.062	15.086	11.392	2.48	0.184	0.108
					
52.352	52.112	51.656	49.75	44.578	29.48
48.948	49.082	49.312	48.23	43.506	27.744
48.848	48.972	49.112	48.208	43.34	27.584
47.376	47.668	47.7	46.042	40.256	20.634
42.906	42.996	42.594	39.686	32.03	8.838
27.482	27.192	25.88	20.588	10.306	0.752
